,,,,,,
Start Time,End Time,Duration,,Speaker,,
8:30,9:30,,Registration,,,
9:30,9:40,,opening,,,
9:40,10:10,30,以 Ktor 打造 API 應用,Shengyou Fan,為了可以更簡單的使用 Kotlin 打造網路應用程式，JetBrains 自主研發推出了 Ktor  框架，讓我們可以快速打造需要的 API 應用，並享受 Kotlin 強型別所帶來的好處。在這場分享裡，將結合 Ktor 框架及 Exposed 函式庫，示範如何實作一個簡易的 API 應用。,
10:10,10:20,10,Break,,,
10:20,10:50,30,APP Girls創辦人教你如何跨越程式高牆 - admob google廣告串接與開發經驗和自學經驗分享,鄭雅方,"分享APP Girls創辦, 開發經驗, 職涯經驗以及自學經驗等等，歸納出任何自學的重要元素與方法，並鼓勵每個人都可以寫程式，靠自己的力量做自己想要做的事情！提供一個方向和方法與自學經驗分享彼此交流。另外也介紹Admob的觀念解析與程式碼分享，讓大家知道如何透過AdMob這個強大又好用的工具，在應用程式內放廣告，為APP新增一項金流管道。",
10:50,11:00,10,Break,,,
11:00,11:30,30,探索 BigQuery,Bob Lee,大數據資料庫（ＡＩ）,
11:30,11:40,10,Break,,,
11:40,12:10,30,Kotlin overview,Takuma Lee,Andriod APP開發平台,
12:00,13:00,60,Lunch,,,
13:00,13:30,30,女性開發者經驗分享,WTM,,
13:30,13:40,10,Break,,,
13:40,14:30,50,Workshop 實作 Google 最新的 serverless 解決方案做為 chatbot(LINE Bot) / voice app (Google智慧語音助理) 的 webhook 應用,Wolke,進階工作坊,語音助理
14:30,15:00,30,Break time,,,
15:00,16:00,60,實作 Google Cloud Run 作為 dialogflow webhook,Wolke,進階工作坊,
16:00,16:10,10,Break,,,
16:10,16:40,30,Tensorflow 2.0,魏澤人,新推出的 Tensorflow 2.0 與之前的版本有很大的差異，是否值得轉換呢? 有哪些新的功能呢? 程式碼要怎麼改? 只要在 keras 前面加上 tf? 我們將帶大家一起探索 Tensorflow 2.0。,
16:40,上午 16:50:00,10,閉幕,,,
